,Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
95,Russia,2019,6.7519642840000005,-6.595431726,6.25,3.7,2.55,3.6,13.0,20.0,22.2,35.4,52.4,58.9,78.4,52.5,65.1,77.8,30,30,10.37669251,-10.86014339,130589.54,199888313632,6.533125305185124e-05
96,Russia,2020,9.540864666,-2.6503396252500004,4.25,2.9,1.35,3.6,13.0,20.0,24.2,34.7,56.8,61.0,80.2,52.1,68.2,77.8,30,30,10.30141228,20.25283293,43125.98,5364487230960,8.039161646449181e-07
97,Russia,2021,12.338463680758332,-5.562826217916666,8.50,4.5,4.0,5.5,13.0,20.0,11.4,33.6,54.4,61.5,84.1,55.4,67.3,74.0,30,30,5.696848034,0.01274602907,33164.17,17321689358183,1.91460366908917e-07
98,Russia,2022,-8.183961843783335,2.231248219,7.50,3.4,4.1,5.5,13.0,20.0,11.0,35.3,36.8,56.1,62.5,57.3,68.0,69.0,30,30,8.619136501,-0.7600885782,22251.227,10964475110592,2.0293928141169907e-07
99,Singapore,2014,-5.341738619333333,6.884238992833333,0.68,4.6,-3.92,0.0,20.0,17.0,13.8,17.1,90.0,89.4,96.8,96.5,81.5,90.0,85,80,6.000661675,4.67634222,949.272,287702640,0.0003299490056816
100,Singapore,2015,1.1017871378583333,-3.949352280333333,1.23,2.4,-1.17,0.0,20.0,17.0,14.0,14.4,90.0,89.4,96.9,96.9,83.7,90.0,85,80,-14.47402665,7.052694722,31873.9086,383432300,0.0083127865336331
101,Singapore,2016,6.84283691225,-4.490032601483334,0.96,1.0,-0.04,0.0,20.0,17.0,13.8,18.2,90.0,87.8,95.0,90.7,81.8,90.0,85,80,1.579355195,2.238196424,296275.4481,1028608400,0.0288035221275657
102,Singapore,2017,27.471217094333337,-13.886594611066664,1.52,-0.5,2.02,0.0,22.0,17.0,13.4,20.3,97.1,88.6,95.1,90.8,84.3,90.0,85,80,17.38375893,-7.494863999,411024.068,30386367280,0.0013526594482734
103,Singapore,2018,-3.7755043325,5.556779736083333,1.86,-0.5,2.36,0.0,22.0,17.0,13.6,17.7,98.4,88.8,90.9,92.6,85.2,90.0,85,80,-10.53960394,2.119150476,66445.671,66562087763,9.982510049352042e-05
104,Singapore,2019,6.612624196916667,-7.529353071749999,2.51,0.6,1.91,0.1,22.0,17.0,13.7,17.6,97.4,89.4,90.8,91.0,85.3,94.8,85,80,6.052874308,-1.315372811,43336.905,199888313632,2.168055961479792e-05
