Currency,Date,Price ($)
IDR,2017-04-01,1065.591592
IDR,2017-05-01,1360.039856
IDR,2017-06-01,2648.611166
IDR,2017-07-01,2648.8521
IDR,2017-08-01,2803.880678
IDR,2017-09-01,4750.217904
IDR,2017-10-01,4311.491251
IDR,2017-11-01,6527.284948
IDR,2017-12-01,10280.01623
IDR,2018-01-01,14988.29345
IDR,2018-02-01,9446.580102
IDR,2018-03-01,10815.34297
IDR,2018-04-01,6883.141742
IDR,2018-05-01,9055.957593
IDR,2018-06-01,7639.218
IDR,2018-07-01,6335.9205
IDR,2018-08-01,7717.983624
IDR,2018-09-01,6972.204
IDR,2018-10-01,6654.443589
IDR,2018-11-01,6404.463896
IDR,2018-12-01,4162.253953
IDR,2019-01-01,3798.355
IDR,2019-02-01,3463.8192
IDR,2019-03-01,3835.281956
IDR,2019-04-01,4113.8985
IDR,2019-05-01,5324.401698
IDR,2019-06-01,8613.725102
IDR,2019-07-01,11182.608
IDR,2019-08-01,10080.79853
IDR,2019-09-01,9865.54777
IDR,2019-10-01,8361.325805
IDR,2019-11-01,9074.19184
IDR,2019-12-01,7380.259415
IDR,2020-01-01,7172.943237
IDR,2020-02-01,9446.247494
IDR,2020-03-01,8851.827631
IDR,2020-04-01,6488.4469
IDR,2020-05-01,8925.699381
IDR,2020-06-01,9730.241703
IDR,2020-07-01,9293.950356
IDR,2020-08-01,11503.25925
IDR,2020-09-01,11683.72767
IDR,2020-10-01,10713.67599
IDR,2020-11-01,13596.33486
IDR,2020-12-01,18816.79383
IDR,2021-01-01,28439.86135
IDR,2021-02-01,33394.67056
IDR,2021-03-01,48149.72808
IDR,2021-04-01,58553.59202
IDR,2021-05-01,57963.5696
IDR,2021-06-01,37566.72313
IDR,2021-07-01,33553.21198
IDR,2021-08-01,41119.58734
IDR,2021-09-01,47851.76141
IDR,2021-10-01,45625.9408
IDR,2021-11-01,60686.29599
IDR,2021-12-01,57563.01214
IDR,2022-01-01,47605.26044
IDR,2022-02-01,38629.59047
IDR,2022-03-01,43348.17414
IDR,2022-04-01,45464.94917
IDR,2022-05-01,38452.66472
IDR,2022-06-01,31056.545
IDR,2022-07-01,19890.56535
IDR,2022-08-01,23323.41981
IDR,2022-09-01,20003.40066
IDR,2022-10-01,19306.47478
IDR,2022-11-01,20388.85714
IDR,2022-12-01,17292.81468
ILS,2014-01-01,735.49792
ILS,2014-02-01,803.6351
ILS,2014-03-01,581.328864
ILS,2014-04-01,501.1989
ILS,2014-05-01,452.6202926
ILS,2014-06-01,628.28754
ILS,2014-07-01,614.92635
ILS,2014-08-01,570.053295
ILS,2014-09-01,490.016525
ILS,2014-10-01,390.9049042
ILS,2014-11-01,357.2294603
ILS,2014-12-01,383.5505243
ILS,2015-01-01,309.9391345
ILS,2015-02-01,229.4927787
ILS,2015-03-01,251.8192482
ILS,2015-04-01,245.7954752
ILS,2015-05-01,231.336795
ILS,2015-06-01,231.49056
ILS,2015-07-01,255.8129844
ILS,2015-08-01,281.3706016
ILS,2015-09-01,230.095755
ILS,2015-10-01,220.9998336
ILS,2015-11-01,316.7345854
ILS,2015-12-01,359.8017
ILS,2016-01-01,426.5601313
ILS,2016-02-01,384.2104
ILS,2016-03-01,436.22766
ILS,2016-04-01,423.3179363
ILS,2016-05-01,450.9086568
ILS,2016-06-01,540.5164155
ILS,2016-07-01,679.0320191
ILS,2016-08-01,616.512645
ILS,2016-09-01,585.6942
ILS,2016-10-01,611.6243611
ILS,2016-11-01,732.17408
ILS,2016-12-01,756.869316
ILS,2017-01-01,986.2755596
ILS,2017-02-01,967.9968
ILS,2017-03-01,1170.522184
ILS,2017-04-01,1008.752327
ILS,2017-05-01,1326.245835
ILS,2017-06-01,2427.606573
ILS,2017-07-01,2430.474537
ILS,2017-08-01,2604.53535
ILS,2017-09-01,5003.447235
ILS,2017-10-01,4454.148255
ILS,2017-11-01,6538.024763
ILS,2017-12-01,10321.56625
ILS,2018-01-01,15118.47031
ILS,2018-02-01,8584.60759
ILS,2018-03-01,10495.19625
ILS,2018-04-01,6829.169916
ILS,2018-05-01,8778.606008
ILS,2018-06-01,7598.85726
ILS,2018-07-01,6234.536555
ILS,2018-08-01,7365.094029
ILS,2018-09-01,7147.642358
ILS,2018-10-01,6373.75929
ILS,2018-11-01,6069.255037
ILS,2018-12-01,4238.943595
ILS,2019-01-01,3761.813256
ILS,2019-02-01,3439.185081
ILS,2019-03-01,3838.33923
ILS,2019-04-01,4162.872596
ILS,2019-05-01,5352.305904
ILS,2019-06-01,8399.491341
ILS,2019-07-01,10457.45922
ILS,2019-08-01,10294.797
ILS,2019-09-01,9830.6475
ILS,2019-10-01,8271.286905
ILS,2019-11-01,8997.195427
ILS,2019-12-01,7350.716399
ILS,2020-01-01,7085.533759
ILS,2020-02-01,9251.919545
ILS,2020-03-01,8532.512306
ILS,2020-04-01,6410.966875
