,Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
83,New Zealand,2016,6.834429468,4.708496059,1.75,1.2,0.55,1.4,33,28,32.1,42.4,95,81.6,91.4,85.9,88.1,87.2,80,80,9.606729867,-1.834236996,5547.1678,1028608400,0.0005392885961
84,New Zealand,2017,30.70280209,5.736323301,1.75,0.3,1.45,1.3,33,28,32.4,41.9,96.1,83.7,91.8,86.2,90.1,87.4,80,80,20.41449273,-1.710935539,7066.984,30386367280,2.33E-05
85,New Zealand,2018,-4.414106192,12.66692343,1.75,0.6,1.15,1.3,33,28,32.8,41,95.1,84.2,91.5,84.4,90,87.4,80,80,4.585916856,5.749918569,2660.3486,66562087763,4.00E-06
86,New Zealand,2019,-2.650752973,-110.8911571,1,1.9,-0.9,1.3,33,28,32.1,40.7,95,84.4,91,86.7,87.5,92.4,80,80,31.60116024,-0.4017941924,0,199888313632,0
87,New Zealand,2020,22.12890726,-43.95075413,0.25,1.6,-1.35,1.4,33,28,32,37.5,93.3,84.1,90.4,86.7,87,92.2,80,80,12.92574786,-6.661029603,1450.9294,5364487230960,2.70E-08
88,New Zealand,2021,12.74367146,-5.622437575,0.75,1.6,-0.85,2.4,33,28,32.7,37.4,91.3,83.9,89.9,86.3,86.9,90.2,80,80,-2.497677973,5.636306679,1903.0586,17321689358183,1.10E-08
89,New Zealand,2022,-8.271082971,4.146586188,4.25,1.7,2.55,2.5,33,28,32.3,39.4,88.2,80.6,81.3,70.5,81.8,90,70,80,-12.75354525,7.635032177,1048.111675,10964475110592,9.56E-09
90,Russia,2014,-7.013118143,4.971261443,17,5.1,11.9,5.2,13,20,29.5,35.8,25,51.9,70,55.8,69.4,74.6,25,30,-0.9988041071,73.05526976,17805.4531,287702640,0.006188838969
91,Russia,2015,3.146125261,5.792203784,11,6.8,4.2,5,13,20,28.7,37.5,20,52.1,76.3,58.9,63.9,75,25,30,10.67781341,29.47312868,214803.7,383432300,0.05602128459
92,Russia,2016,6.896939351,-8.756606157,10,7.8,2.2,6.3,13,20,34.8,38.2,20,50.6,72.2,57.6,62.9,72.4,25,30,28.71966927,-17.60030288,348056.7,1028608400,0.03383762956
93,Russia,2017,28.06549258,-19.37620508,7.75,15.5,-7.75,4.9,13,20,35.3,36.4,47.6,57.1,74.8,50.8,57.3,75.2,30,30,-5.992305836,-4.594531205,272617.17,30386367280,0.0008971693374
94,Russia,2018,-3.585390537,3.303820674,7.75,7,0.75,2.8,13,20,29.2,35.3,48.7,58.2,77,52,60.8,79.4,30,30,8.101593183,20.76173212,278186.64,66562087763,0.0004179355687
95,Russia,2019,6.751964284,-6.595431726,6.25,3.7,2.55,3.6,13,20,22.2,35.4,52.4,58.9,78.4,52.5,65.1,77.8,30,30,10.37669251,-10.86014339,130589.54,199888313632,6.53E-05
96,Russia,2020,9.540864666,-2.650339625,4.25,2.9,1.35,3.6,13,20,24.2,34.7,56.8,61,80.2,52.1,68.2,77.8,30,30,10.30141228,20.25283293,43125.98,5364487230960,8.04E-07
97,Russia,2021,12.33846368,-5.562826218,8.5,4.5,4,5.5,13,20,11.4,33.6,54.4,61.5,84.1,55.4,67.3,74,30,30,5.696848034,0.01274602907,33164.17,17321689358183,1.91E-07
98,Russia,2022,-8.183961844,2.231248219,7.5,3.4,4.1,5.5,13,20,11,35.3,36.8,56.1,62.5,57.3,68,69,30,30,8.619136501,-0.7600885782,22251.227,10964475110592,2.03E-07
99,Singapore,2014,-5.341738619,6.884238993,0.68,4.6,-3.92,0,20,17,13.8,17.1,90,89.4,96.8,96.5,81.5,90,85,80,6.000661675,4.67634222,949.272,287702640,0.0003299490057
100,Singapore,2015,1.101787138,-3.94935228,1.23,2.4,-1.17,0,20,17,14,14.4,90,89.4,96.9,96.9,83.7,90,85,80,-14.47402665,7.052694722,31873.9086,383432300,0.008312786534
101,Singapore,2016,6.842836912,-4.490032601,0.96,1,-0.04,0,20,17,13.8,18.2,90,87.8,95,90.7,81.8,90,85,80,1.579355195,2.238196424,296275.4481,1028608400,0.02880352213
102,Singapore,2017,27.47121709,-13.88659461,1.52,-0.5,2.02,0,22,17,13.4,20.3,97.1,88.6,95.1,90.8,84.3,90,85,80,17.38375893,-7.494863999,411024.068,30386367280,0.001352659448
