Country,Year,bitcoin_return,bitcoin_premium,Interest_Rate,Inflation,Real_Interest_Rate,Tariff_Rate,Income_Tax_Rate,Corporate_Tax_Rate,Tax_Burden_Percent_of_GDP,Gov_Expenditure_Percent_of_GDP,Property_Rights,Economic_Freedom,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom,Financial_Freedom,Stock_Market_Returns,Currency_Returns,Trading_Volume,Global_Volume,Percent_Global_Volume
Malaysia,2019,16.4338,-207.7881,3.0000,3.8000,-0.8000,4.0000,25.0000,25.0000,13.8000,23.7000,84.1000,74.0000,83.9000,74.4000,78.6000,82.0000,60.0000,50.0000,-4.7569,-1.0600,"1,348.2482","199,888,313,632.0000",0.0000
Malaysia,2020,9.5477,-2.4213,1.7500,1.0000,0.7500,4.0000,25.0000,25.0000,13.6000,22.6000,86.5000,74.7000,87.8000,74.5000,81.6000,82.0000,60.0000,50.0000,1.5420,-1.7531,"16,751.8820","5,364,487,230,960.0000",0.0000
Malaysia,2021,12.4458,-3.6583,1.7500,0.7000,1.0500,3.8000,30.0000,24.0000,12.0000,22.8000,85.1000,74.4000,86.7000,73.9000,83.6000,82.4000,60.0000,50.0000,-2.1865,3.3829,"26,069.5600","17,321,689,358,183.0000",0.0000
Malaysia,2022,-8.4370,4.2492,2.7500,-1.1000,3.8500,3.9000,30.0000,24.0000,12.0000,23.9000,65.6000,68.1000,67.1000,57.0000,83.6000,82.2000,60.0000,50.0000,-3.4576,5.9571,"12,880.5930","10,964,475,110,592.0000",0.0000
New Zealand,2014,-5.9610,5.1043,3.5000,1.1000,2.4000,1.6000,33.0000,28.0000,31.7000,47.5000,95.0000,81.2000,96.1000,90.2000,86.3000,86.8000,80.0000,80.0000,16.7589,5.0021,"3,181.3195","287,702,640.0000",0.0011
New Zealand,2015,2.2982,0.9975,2.5000,1.1000,1.4000,1.6000,33.0000,28.0000,32.9000,43.6000,95.0000,82.1000,95.5000,91.4000,87.6000,86.8000,80.0000,80.0000,12.8808,14.4794,"6,106.6692","383,432,300.0000",0.0016
New Zealand,2016,6.8344,4.7085,1.7500,1.2000,0.5500,1.4000,33.0000,28.0000,32.1000,42.4000,95.0000,81.6000,91.4000,85.9000,88.1000,87.2000,80.0000,80.0000,9.6067,-1.8342,"5,547.1678","1,028,608,400.0000",0.0005
New Zealand,2017,30.7028,5.7363,1.7500,0.3000,1.4500,1.3000,33.0000,28.0000,32.4000,41.9000,96.1000,83.7000,91.8000,86.2000,90.1000,87.4000,80.0000,80.0000,20.4145,-1.7109,"7,066.9840","30,386,367,280.0000",0.0000
New Zealand,2018,-4.4141,12.6669,1.7500,0.6000,1.1500,1.3000,33.0000,28.0000,32.8000,41.0000,95.1000,84.2000,91.5000,84.4000,90.0000,87.4000,80.0000,80.0000,4.5859,5.7499,"2,660.3486","66,562,087,763.0000",0.0000
New Zealand,2019,-2.6508,-110.8912,1.0000,1.9000,-0.9000,1.3000,33.0000,28.0000,32.1000,40.7000,95.0000,84.4000,91.0000,86.7000,87.5000,92.4000,80.0000,80.0000,31.6012,-0.4018,0.0000,"199,888,313,632.0000",0.0000
New Zealand,2020,22.1289,-43.9508,0.2500,1.6000,-1.3500,1.4000,33.0000,28.0000,32.0000,37.5000,93.3000,84.1000,90.4000,86.7000,87.0000,92.2000,80.0000,80.0000,12.9257,-6.6610,"1,450.9294","5,364,487,230,960.0000",0.0000
New Zealand,2021,12.7437,-5.6224,0.7500,1.6000,-0.8500,2.4000,33.0000,28.0000,32.7000,37.4000,91.3000,83.9000,89.9000,86.3000,86.9000,90.2000,80.0000,80.0000,-2.4977,5.6363,"1,903.0586","17,321,689,358,183.0000",0.0000
New Zealand,2022,-8.2711,4.1466,4.2500,1.7000,2.5500,2.5000,33.0000,28.0000,32.3000,39.4000,88.2000,80.6000,81.3000,70.5000,81.8000,90.0000,70.0000,80.0000,-12.7535,7.6350,"1,048.1117","10,964,475,110,592.0000",0.0000
Russia,2014,-7.0131,4.9713,17.0000,5.1000,11.9000,5.2000,13.0000,20.0000,29.5000,35.8000,25.0000,51.9000,70.0000,55.8000,69.4000,74.6000,25.0000,30.0000,-0.9988,73.0553,"17,805.4531","287,702,640.0000",0.0062
Russia,2015,3.1461,5.7922,11.0000,6.8000,4.2000,5.0000,13.0000,20.0000,28.7000,37.5000,20.0000,52.1000,76.3000,58.9000,63.9000,75.0000,25.0000,30.0000,10.6778,29.4731,"214,803.7000","383,432,300.0000",0.0560
Russia,2016,6.8969,-8.7566,10.0000,7.8000,2.2000,6.3000,13.0000,20.0000,34.8000,38.2000,20.0000,50.6000,72.2000,57.6000,62.9000,72.4000,25.0000,30.0000,28.7197,-17.6003,"348,056.7000","1,028,608,400.0000",0.0338
Russia,2017,28.0655,-19.3762,7.7500,15.5000,-7.7500,4.9000,13.0000,20.0000,35.3000,36.4000,47.6000,57.1000,74.8000,50.8000,57.3000,75.2000,30.0000,30.0000,-5.9923,-4.5945,"272,617.1700","30,386,367,280.0000",0.0009
Russia,2018,-3.5854,3.3038,7.7500,7.0000,0.7500,2.8000,13.0000,20.0000,29.2000,35.3000,48.7000,58.2000,77.0000,52.0000,60.8000,79.4000,30.0000,30.0000,8.1016,20.7617,"278,186.6400","66,562,087,763.0000",0.0004
